date,open,high,low,close,volume,adjusted
2015-01-02,126.29000091552734,127.66000366210938,126.1500015258789,127.31999969482422,9432000,92.65925598144531
2015-01-05,128.00999450683594,129.6300048828125,127.95999908447266,129.32000732421875,9789500,94.114837646484375
2015-01-06,130.6999969482422,132.49000549316406,130.19000244140625,131.64999389648438,18331300,95.81053924560547
2015-01-07,130.6999969482422,131.97000122070312,130.1699981689453,131.38999938964844,9762900,95.62135314941406
2015-01-08,130.36000061035156,130.3699951171875,129.4199981689453,129.64999389648438,8055300,94.355010986328125
2015-01-09,129.1999969482422,131.11000061035156,129.0399932861328,131.07000732421875,9398800,95.38837432861328
2015-01-12,131,132.30999755859375,130.9199981689453,131.82000732421875,6658100,95.93421173095703
2015-01-13,131.38999938964844,132.61000061035156,131.13999938964844,131.82000732421875,8260800,95.93421173095703
2015-01-14,133.72000122070312,134.1199951171875,132.6999969482422,132.82000732421875,12324500,96.66200256347656
2015-01-15,132.85000610351562,135.02999877929688,132.67999267578125,134.91000366210938,11454200,98.18309020996094
2015-01-16,134.3300018310547,134.67999267578125,133.02999877929688,133.19000244140625,9390500,96.93126678466797
2015-01-20,134.1300048828125,135.11000061035156,134.07000732421875,134.9600067138672,7758700,98.21941375732422
2015-01-21,135.1999969482422,135.58999633789062,132.9600067138672,133.39999389648438,9803900,97.0841064453125
2015-01-22,134,134.17999267578125,132.27999877929688,132.9199981689453,10200000,96.7347640991211
2015-01-23,134.3000030517578,135.1199951171875,134.14999389648438,134.77000427246094,7334600,98.0811538696289
2015-01-26,134.83999633789062,135.19000244140625,134.0500030517578,134.36000061035156,5966500,97.78276062011719
2015-01-27,135.72999572753906,136.1300048828125,134.14999389648438,134.57000732421875,8079600,97.93556213378906
2015-01-28,134.75,137.41000366210938,134.6999969482422,136.77000427246094,12230300,99.536651611328125
2015-01-29,136.1199951171875,136.6699981689453,135.4600067138672,135.8699951171875,8881400,98.88167572021484
2015-01-30,137.7100067138672,138.5,137.17999267578125,138.27999877929688,14871200,100.6356430053711
2015-02-02,136.6999969482422,137.9199981689453,136.66000366210938,137.47999572753906,13689900,100.25570678710938
2015-02-03,135.64999389648438,135.7899932861328,134.3699951171875,134.57000732421875,14008700,98.13359069824219
2015-02-04,133.49000549316406,134.99000549316406,133.1199951171875,134.8000030517578,11360400,98.30130767822266
2015-02-05,134,134.22999572753906,133.11000061035156,133.32000732421875,8334600,97.2220687866211
2015-02-06,132.0500030517578,132.35000610351562,130.58999633789062,130.9600067138672,13685600,95.50108337402344
2015-02-09,131.97000122070312,131.97999572753906,130.75,130.75,8025500,95.34791564941406
2015-02-10,130.13999938964844,130.47000122070312,129.44000244140625,129.7100067138672,8290700,94.58946990966797
2015-02-11,129.6999969482422,130.27000427246094,128.9600067138672,129.9499969482422,6506400,94.7645034790039
2015-02-12,129.66000366210938,130.5399932861328,129.4499969482422,129.52000427246094,12548300,94.450927734375
2015-02-13,129.50999450683594,129.52999877929688,128.08999633789062,128.19000244140625,8325200,93.4810562133789
2015-02-17,127.80000305175781,127.93000030517578,125.91999816894531,126.26000213623047,14968800,92.07364654541016
2015-02-18,126.81999969482422,127.73999786376953,126.47000122070312,127.01000213623047,14009200,92.6205825805664
2015-02-19,126.77999877929688,127.44999694824219,126.16999816894531,126.16999816894531,8584800,92.00801849365234
2015-02-20,127.05000305175781,128.00999450683594,126,126.54000091552734,12502500,92.2778091430664
2015-02-23,127.19000244140625,128.1699981689453,127.16000366210938,127.98999786376953,7500500,93.3351821899414
2015-02-24,127.6500015258789,129.7899932861328,127.18000030517578,129.6699981689453,11958300,94.5602798461914
2015-02-25,129.4600067138672,130.38999938964844,129.0800018310547,130.22999572753906,8019800,94.9686508178711
2015-02-26,129.6999969482422,130.3000030517578,128.39999389648438,128.4499969482422,11020500,93.67064666748047
2015-02-27,129.02000427246094,129.6199951171875,128.27000427246094,129.52999877929688,9225100,94.458251953125
2015-03-02,129,129.07000732421875,126.7699966430664,126.87000274658203,11324000,92.69879150390625
2015-03-03,126.88999938964844,127.37000274658203,126.37999725341797,126.41000366210938,8599000,92.36270904541016
2015-03-04,126.94000244140625,127.04000091552734,126.16000366210938,126.44999694824219,6478900,92.39191436767578
2015-03-05,126.52999877929688,126.87999725341797,125.9000015258789,126.29000091552734,6045000,92.27498626708984
2015-03-06,124.66999816894531,124.83000183105469,122.97000122070312,123.5,20022900,90.2364730834961
2015-03-09,124.68000030517578,124.87000274658203,124.12999725341797,124.63999938964844,8889100,91.06941223144531
2015-03-10,125.97000122070312,126.44000244140625,125.76000213623047,126.27999877929688,9277900,92.26771545410156
2015-03-11,126.26000213623047,127.45999908447266,126.12000274658203,127.19999694824219,6663100,92.93993377685547
2015-03-12,128.1999969482422,128.1999969482422,126.72000122070312,127.11000061035156,10295900,92.8741683959961
2015-03-13,126.76000213623047,127.58999633789062,126.48999786376953,126.72000122070312,7247200,92.5892333984375
2015-03-16,127.94000244140625,128.14999389648438,127.2699966430664,127.94000244140625,6374600,93.48062896728516
2015-03-17,128.5500030517578,129.11000061035156,128.27999877929688,129,6314000,94.2551040649414
2015-03-18,129.91000366210938,131.52999877929688,128.61000061035156,131.49000549316406,13981900,96.07447052001953
2015-03-19,131.1999969482422,131.6199951171875,130.27000427246094,130.82000732421875,9543800,95.58495330810547
2015-03-20,131.22000122070312,131.6999969482422,131.13999938964844,131.50999450683594,5953800,96.08904266357422
2015-03-23,131.6999969482422,131.75,130.99000549316406,131.35000610351562,5555500,95.972137451171875
2015-03-24,131.8300018310547,132.63999938964844,131.47999572753906,132.6199951171875,6713000,96.90010833740234
2015-03-25,132.72000122070312,132.75999450683594,131.4600067138672,131.5,5635800,96.0817642211914
2015-03-26,131.0500030517578,131.13999938964844,129.17999267578125,129.4499969482422,9536300,94.58392333984375
2015-03-27,130.02999877929688,131.1300048828125,129.97999572753906,131.05999755859375,7907900,95.76026153564453
2015-03-30,130.89999389648438,131,130.08999633789062,130.41000366210938,7010600,95.28534698486328
2015-03-31,130.24000549316406,130.9600067138672,129.91000366210938,130.69000244140625,6844300,95.48992156982422
2015-04-01,131.3300018310547,132.47999572753906,131.3000030517578,132.1300048828125,9273900,96.74417877197266
2015-04-02,131.92999267578125,131.97000122070312,130.61000061035156,130.72999572753906,6663400,95.71903991699219
2015-04-06,131.42999267578125,131.47999572753906,129.72000122070312,130,5923800,95.1845932006836
2015-04-07,130.22999572753906,131.22000122070312,129.85000610351562,131.08999633789062,4764900,95.982696533203125
2015-04-08,131.02000427246094,131.36000061035156,130.02000427246094,131.1300048828125,5378900,96.0119857788086
2015-04-09,130.8699951171875,130.9199981689453,129.1300048828125,129.42999267578125,6484200,94.76727294921875
2015-04-10,130.32000732421875,130.4499969482422,129.5500030517578,129.6199951171875,4843000,94.90637969970703
2015-04-13,129.52999877929688,129.97999572753906,129.38999938964844,129.8000030517578,4010600,95.03816223144531
2015-04-14,131.30999755859375,131.86000061035156,130.47999572753906,130.72000122070312,6075500,95.711761474609375
2015-04-15,131.0500030517578,131.27000427246094,130.32000732421875,130.61000061035156,4425200,95.63121795654297
2015-04-16,130.8300018310547,130.86000061035156,129.41000366210938,129.9600067138672,7085500,95.15533447265625
2015-04-17,129.77000427246094,131.6999969482422,129.6999969482422,131.4499969482422,7268800,96.24633026123047
2015-04-20,130.94000244140625,131.00999450683594,129.92999267578125,130.2899932861328,4949400,95.39690399169922
2015-04-21,130.22999572753906,130.4499969482422,129.55999755859375,129.6999969482422,4563800,94.964935302734375
2015-04-22,129.5,129.5500030517578,127.54000091552734,127.72000122070312,9707600,93.51518249511719
2015-04-23,127.80000305175781,128.85000610351562,127.61000061035156,128.27000427246094,6843400,93.91788482666016
2015-04-24,128.63999938964844,129.42999267578125,128.58999633789062,129.07000732421875,4773000,94.50370025634766
2015-04-27,129.07000732421875,129.5,128.3699951171875,129.07000732421875,4334900,94.50370025634766
2015-04-28,128.1699981689453,128.74000549316406,127.26000213623047,127.29000091552734,7464300,93.20038604736328
2015-04-29,125.80999755859375,126.44000244140625,125.27999877929688,125.7300033569336,11554800,92.058135986328125
2015-04-30,125.04000091552734,126.16999816894531,124.51000213623047,125.94999694824219,12876000,92.21925354003906
2015-05-01,124.7300033569336,125.04000091552734,123.69000244140625,124,12378500,90.977813720703125
2015-05-04,124.30000305175781,124.52999877929688,122.72000122070312,122.83000183105469,9144700,90.11939239501953
2015-05-05,122.86000061035156,123.02999877929688,121.69000244140625,122.66000366210938,13935500,89.99466705322266
2015-05-06,121.98999786376953,122.05999755859375,120.37000274658203,120.55999755859375,14355000,88.45392608642578
2015-05-07,121.43000030517578,122.56999969482422,121.3499984741211,122.18000030517578,11933700,89.64250946044922
2015-05-08,123.37999725341797,123.55000305175781,122.30999755859375,122.51000213623047,11716400,89.88462829589844
2015-05-11,121.62000274658203,121.6500015258789,119.5,119.52999877929688,13738600,87.69819641113281
2015-05-12,119.13999938964844,120.62999725341797,118.81999969482422,119.83999633789062,15861700,87.92566680908203
2015-05-13,120.6500015258789,120.72000122070312,118.63999938964844,118.87999725341797,15760000,87.2213134765625
2015-05-14,118.91999816894531,119.83000183105469,118.69000244140625,119.19999694824219,9128400,87.45612335205078
