date,open,high,low,close,volume,adjusted
2015-01-02,206.3800048828125,206.8800048828125,204.17999267578125,205.42999267578125,121465900,169.6878204345703
2015-01-05,204.1699981689453,204.3699951171875,201.35000610351562,201.72000122070312,169632600,166.6233673095703
2015-01-06,202.08999633789062,202.72000122070312,198.86000061035156,199.82000732421875,209151400,165.0539093017578
2015-01-07,201.4199981689453,202.72000122070312,200.8800048828125,202.30999755859375,125346700,167.11068725585938
2015-01-08,204.00999450683594,206.16000366210938,203.99000549316406,205.89999389648438,147217800,170.07606506347656
2015-01-09,206.39999389648438,206.4199981689453,203.50999450683594,204.25,158567300,168.7130889892578
2015-01-12,204.41000366210938,204.60000610351562,201.9199981689453,202.64999389648438,144396100,167.39151000976562
2015-01-13,204.1199951171875,205.47999572753906,200.50999450683594,202.0800018310547,214553300,166.9207000732422
2015-01-14,199.64999389648438,201.10000610351562,198.57000732421875,200.86000061035156,192991100,165.91294860839844
2015-01-15,201.6300048828125,202.00999450683594,198.8800048828125,199.02000427246094,176613900,164.3931121826172
2015-01-16,198.77000427246094,201.82000732421875,198.5500030517578,201.6300048828125,211879600,166.5490264892578
2015-01-20,202.39999389648438,202.72000122070312,200.1699981689453,202.05999755859375,130991100,166.9041748046875
2015-01-21,201.5,203.66000366210938,200.94000244140625,203.0800018310547,122942700,167.7467041015625
2015-01-22,203.99000549316406,206.25999450683594,202.3300018310547,206.10000610351562,174356000,170.24130249023438
2015-01-23,205.7899932861328,206.10000610351562,204.80999755859375,204.97000122070312,117516800,169.30789184570312
2015-01-26,204.7100067138672,205.55999755859375,203.85000610351562,205.4499969482422,92009700,169.7043914794922
2015-01-27,202.97000122070312,204.1199951171875,201.74000549316406,202.74000549316406,134044600,167.46585083007812
2015-01-28,204.1699981689453,204.2899932861328,199.91000366210938,200.13999938964844,168514300,165.31826782226562
2015-01-29,200.3800048828125,202.3000030517578,198.67999267578125,201.99000549316406,173585400,166.8463897705078
2015-01-30,200.57000732421875,202.1699981689453,199.1300048828125,199.4499969482422,197729700,164.74827575683594
2015-02-02,200.0500030517578,202.02999877929688,197.86000061035156,201.9199981689453,163107000,166.78854370117188
2015-02-03,203,204.85000610351562,202.5500030517578,204.83999633789062,124212900,169.20053100585938
2015-02-04,203.9199981689453,205.3800048828125,203.50999450683594,204.05999755859375,134306700,168.55616760253906
2015-02-05,204.86000061035156,206.3000030517578,204.77000427246094,206.1199951171875,97953200,170.2578125
2015-02-06,206.55999755859375,207.24000549316406,204.9199981689453,205.5500030517578,125672000,169.7870330810547
2015-02-09,204.77000427246094,205.63999938964844,204.13999938964844,204.6300048828125,87219000,169.02699279785156
2015-02-10,205.8800048828125,207.1199951171875,204.67999267578125,206.80999755859375,96164200,170.82774353027344
2015-02-11,206.61000061035156,207.4499969482422,205.8300018310547,206.92999267578125,91087800,170.92689514160156
2015-02-12,207.88999938964844,208.99000549316406,206.97000122070312,208.9199981689453,97545900,172.57061767578125
2015-02-13,209.07000732421875,209.83999633789062,208.75999450683594,209.77999877929688,93670400,173.2810516357422
2015-02-17,209.39999389648438,210.32000732421875,209.10000610351562,210.11000061035156,76968200,173.55357360839844
2015-02-18,209.66000366210938,210.22000122070312,209.33999633789062,210.1300048828125,80652900,173.57012939453125
2015-02-19,209.41000366210938,210.4199981689453,209.24000549316406,209.97999572753906,91462500,173.44619750976562
2015-02-20,209.47999572753906,211.3300018310547,208.72999572753906,211.24000549316406,140896400,174.4870147705078
2015-02-23,210.94000244140625,211.2100067138672,210.47999572753906,211.2100067138672,74411100,174.4622039794922
2015-02-24,211.1199951171875,212.0500030517578,210.75999450683594,211.80999755859375,72472300,174.9578094482422
2015-02-25,211.66000366210938,212.24000549316406,211.22000122070312,211.6300048828125,73061700,174.80914306640625
2015-02-26,211.52000427246094,211.7100067138672,210.64999389648438,211.3800048828125,72697900,174.60264587402344
2015-02-27,211.25999450683594,211.5800018310547,210.60000610351562,210.66000366210938,108076000,174.0078887939453
2015-03-02,210.77999877929688,212.05999755859375,210.72000122070312,211.99000549316406,87491400,175.10655212402344
2015-03-03,211.47000122070312,212.0500030517578,210.0800018310547,211.1199951171875,110325800,174.3878631591797
2015-03-04,210.39999389648438,210.49000549316406,209.05999755859375,210.22999572753906,114497200,173.65269470214844
2015-03-05,210.6199951171875,210.8000030517578,209.85000610351562,210.4600067138672,76873000,173.84268188476562
2015-03-06,209.4199981689453,209.94000244140625,207.10000610351562,207.5,188128000,171.397705078125
2015-03-09,207.74000549316406,208.7899932861328,207.5500030517578,208.36000061035156,89818900,172.1081085205078
2015-03-10,206.7100067138672,206.80999755859375,204.92999267578125,204.97999572753906,157121300,169.31617736816406
2015-03-11,205.2899932861328,205.5,204.39999389648438,204.5,110145700,168.91966247558594
2015-03-12,205.25999450683594,207.17999267578125,205.1999969482422,207.10000610351562,93993500,171.0673065185547
2015-03-13,206.77000427246094,207.92999267578125,204.5800018310547,205.8300018310547,162410900,170.0182647705078
2015-03-16,206.7100067138672,208.69000244140625,205.86000061035156,208.5800018310547,136099200,172.28976440429688
2015-03-17,207.69000244140625,208.4199981689453,206.97999572753906,207.9600067138672,94510400,171.7776641845703
2015-03-18,207.38999938964844,211.27000427246094,206.6199951171875,210.4600067138672,228808500,173.84268188476562
2015-03-19,209.9600067138672,210.47000122070312,209.02999877929688,209.5,117917300,173.0497589111328
2015-03-20,209.7100067138672,211.02000427246094,209.49000549316406,210.41000366210938,177715100,174.57723999023438
2015-03-23,210.4199981689453,211.11000061035156,210,210,71784500,174.237060546875
2015-03-24,209.85000610351562,210.39999389648438,208.74000549316406,208.82000732421875,77805300,173.2579803466797
2015-03-25,209.07000732421875,209.35000610351562,205.7100067138672,205.75999450683594,159521700,170.71910095214844
2015-03-26,204.9600067138672,206.3699951171875,204.1199951171875,205.27000427246094,153067200,170.31253051757812
2015-03-27,205.1300048828125,205.9499969482422,204.89999389648438,205.74000549316406,118939000,170.7025604248047
2015-03-30,206.97999572753906,208.61000061035156,206.9600067138672,208.25,96180400,172.78506469726562
2015-03-31,207.25999450683594,208.10000610351562,206.36000061035156,206.42999267578125,126768700,171.27500915527344
2015-04-01,206.38999938964844,206.4199981689453,204.50999450683594,205.6999969482422,137303600,170.66929626464844
2015-04-02,205.6199951171875,206.97999572753906,205.39999389648438,206.44000244140625,86900900,171.2832794189453
2015-04-06,205.3699951171875,208.4499969482422,205.2100067138672,207.8300018310547,114368200,172.43655395507812
2015-04-07,207.86000061035156,208.75999450683594,207.24000549316406,207.27999877929688,81236300,171.98019409179688
2015-04-08,207.5500030517578,208.50999450683594,207.0800018310547,207.97999572753906,89351900,172.56100463867188
2015-04-09,207.77999877929688,209.17999267578125,207.19000244140625,208.89999389648438,85548900,173.32432556152344
2015-04-10,209.1999969482422,210.08999633789062,208.9600067138672,210.0399932861328,72722900,174.2701873779297
2015-04-13,209.8699951171875,210.6300048828125,209.02999877929688,209.08999633789062,74436600,173.48204040527344
2015-04-14,208.85000610351562,209.7100067138672,208.10000610351562,209.49000549316406,75099900,173.8139190673828
2015-04-15,210.0500030517578,211.0399932861328,209.9499969482422,210.42999267578125,99529300,174.5937957763672
2015-04-16,210.02999877929688,210.97999572753906,209.7899932861328,210.3699951171875,68934900,174.54403686523438
2015-04-17,208.94000244140625,209.22999572753906,207.00999450683594,207.9499969482422,191113200,172.5361785888672
2015-04-20,209.05999755859375,210.25,208.9600067138672,209.85000610351562,92189500,174.1125946044922
2015-04-21,210.6699981689453,210.86000061035156,209.24000549316406,209.60000610351562,72559800,173.90518188476562
2015-04-22,210.00999450683594,210.85000610351562,208.89999389648438,210.6300048828125,78264600,174.7597198486328
2015-04-23,210.14999389648438,211.94000244140625,210.00999450683594,211.16000366210938,102585900,175.19947814941406
2015-04-24,211.66000366210938,211.97000122070312,211.11000061035156,211.64999389648438,61327400,175.6060791015625
2015-04-27,212.3300018310547,212.47999572753906,210.5399932861328,210.77000427246094,79358100,174.8759307861328
2015-04-28,210.74000549316406,211.5,209.3300018310547,211.44000244140625,86863500,175.4318084716797
2015-04-29,210.3699951171875,211.2899932861328,209.60000610351562,210.57000732421875,125684900,174.70999145507812
2015-04-30,209.8800048828125,210.35000610351562,207.6199951171875,208.4600067138672,161304900,172.95928955078125
2015-05-01,209.39999389648438,210.77000427246094,209.27999877929688,210.72000122070312,103399700,174.8343963623047
2015-05-04,211.22999572753906,212.02000427246094,211.10000610351562,211.32000732421875,70927200,175.33226013183594
2015-05-05,211.02999877929688,211.4600067138672,208.72999572753906,208.89999389648438,113326200,173.32432556152344
2015-05-06,209.55999755859375,209.92999267578125,206.75999450683594,208.0399932861328,135060200,172.6107940673828
2015-05-07,207.9199981689453,209.3800048828125,207.52000427246094,208.8699951171875,88244900,173.2994384765625
2015-05-08,210.8800048828125,211.86000061035156,210.77999877929688,211.6199951171875,155877300,175.58116149902344
2015-05-11,211.57000732421875,211.88999938964844,210.52000427246094,210.61000061035156,75708100,174.74314880371094
2015-05-12,209.61000061035156,210.6300048828125,208.6199951171875,209.97999572753906,119727600,174.22039794921875
